File,compound_names,mz,rt,into,Group,Sample
C_1_10D.mzML,A,90.1,675.37416,101395574.9,C,10D
C_1_10D.mzML,R,175.1,676.97874,35283660.56,C,10D
C_1_10D.mzML,D,134,951.5433,72627364.05,C,10D
C_1_10D.mzML,Cystine,241,706.66242,8282.426055,C,10D
C_1_10D.mzML,E,148.1,849.55548,497690693.2,C,10D
C_1_10D.mzML,G,76,760.14666,71573552.65,C,10D
C_1_10D.mzML,H,156.1,660.93348,200686661.5,C,10D
C_1_10D.mzML,I/L,132.1,822.18822,51540457.35,C,10D
C_1_10D.mzML,K,147.1,822.18822,3190615096,C,10D
C_1_10D.mzML,M,150.1,848.7531,21001132.03,C,10D
C_1_10D.mzML,F,166.1,852.78696,28612479.33,C,10D
C_1_10D.mzML,P,116.1,665.21226,119132684.8,C,10D
C_1_10D.mzML,S,106.0524992,880.6767,327403082.1,C,10D
C_1_10D.mzML,T,120.1,763.62306,190498240.1,C,10D
C_1_10D.mzML,Y,182.1,700.77912,35797037.2,C,10D
C_1_10D.mzML,V,118.1,819.78144,1349238441,C,10D
C_1_20D.mzML,A,90.1,673.72818,62256182.5,C,20D
C_1_20D.mzML,R,175.1,759.62346,95354572.39,C,20D
C_1_20D.mzML,D,134,956.02806,31303241.86,C,20D
C_1_20D.mzML,Cystine,241,936.23892,1996.491023,C,20D
C_1_20D.mzML,E,148.1,825.40896,203988801.6,C,20D
C_1_20D.mzML,G,76,765.5067,37733770.3,C,20D
C_1_20D.mzML,H,156.1,680.41368,218170874.7,C,20D
C_1_20D.mzML,I/L,132.1,824.07186,44068693.21,C,20D
C_1_20D.mzML,K,147.1,824.60658,1809184134,C,20D
C_1_20D.mzML,M,150.1,666.24036,24126317.45,C,20D
C_1_20D.mzML,F,166.1,674.26302,31215255.47,C,20D
C_1_20D.mzML,P,116.1,670.25166,121866628.9,C,20D
C_1_20D.mzML,S,106.0525943,880.34802,119686997.4,C,20D
C_1_20D.mzML,T,120.1,768.71568,117233379.2,C,20D
C_1_20D.mzML,Y,182.1,704.74902,38241658,C,20D
C_1_20D.mzML,V,118.1,669.4494,1330271378,C,20D
C_2_10D.mzML,A,90.1,675.3984,105247790.5,C,10D
C_2_10D.mzML,R,175.1,677.53776,32459128.82,C,10D
C_2_10D.mzML,D,134,957.4026,56813945.93,C,10D
C_2_10D.mzML,Cystine,241,740.1141,17723.73305,C,10D
C_2_10D.mzML,E,148.1,849.04332,434298904.2,C,10D
C_2_10D.mzML,G,76,759.9033,49432701.76,C,10D
C_2_10D.mzML,H,156.1,730.7544,202008827.5,C,10D
C_2_10D.mzML,I/L,132.1,820.3404,48938740.88,C,10D
C_2_10D.mzML,K,147.1,821.69442,2190599064,C,10D
C_2_10D.mzML,M,150.1,848.77596,21259662.89,C,10D
C_2_10D.mzML,F,166.1,666.57348,28298238.61,C,10D
C_2_10D.mzML,P,116.1,669.78246,119127913.5,C,10D
C_2_10D.mzML,S,106.0523942,879.58308,260363495.4,C,10D
C_2_10D.mzML,T,120.1,763.91466,156055647.9,C,10D
C_2_10D.mzML,Y,182.1,701.87298,34951076.77,C,10D
C_2_10D.mzML,V,118.1,664.96902,1382858357,C,10D
C_2_20D.mzML,A,90.1,675.06612,94631934.58,C,20D
C_2_20D.mzML,R,175.1,678.00774,130722185.2,C,20D
C_2_20D.mzML,D,134,952.62342,58785996.85,C,20D
C_2_20D.mzML,Cystine,241,668.08854,11685.9377,C,20D
C_2_20D.mzML,E,148.1,824.35032,370667122,C,20D
C_2_20D.mzML,G,76,762.80496,49801840.98,C,20D
C_2_20D.mzML,H,156.1,724.83114,210025561.3,C,20D
C_2_20D.mzML,I/L,132.1,825.15258,51176157.74,C,20D
C_2_20D.mzML,K,147.1,824.35032,3653940345,C,20D
C_2_20D.mzML,M,150.1,826.7571,22263580.45,C,20D
C_2_20D.mzML,F,166.1,667.55364,29765326.13,C,20D
C_2_20D.mzML,P,116.1,674.26392,119328618.7,C,20D
C_2_20D.mzML,S,106.0529075,880.89372,193430604.6,C,20D
C_2_20D.mzML,T,120.1,767.61846,128389050.6,C,20D
C_2_20D.mzML,Y,182.1,704.2398,39380676.65,C,20D
C_2_20D.mzML,V,118.1,824.35032,1273917555,C,20D
C_3_10D.mzML,A,90.1,675.7143,119992198.4,C,10D
C_3_10D.mzML,R,175.1,677.31882,45999913.92,C,10D
C_3_10D.mzML,D,134,954.29244,102919334.7,C,10D
C_3_10D.mzML,Cystine,241,663.94782,15291.81959,C,10D
C_3_10D.mzML,E,148.1,849.09642,593745561.1,C,10D
C_3_10D.mzML,G,76,759.14964,74758010.82,C,10D
C_3_10D.mzML,H,156.1,731.60538,201992398,C,10D
C_3_10D.mzML,I/L,132.1,822.52842,50544283.54,C,10D
C_3_10D.mzML,K,147.1,821.72616,3257386046,C,10D
C_3_10D.mzML,M,150.1,848.56164,22130759.07,C,10D
C_3_10D.mzML,F,166.1,852.3279,29271369.3,C,10D
C_3_10D.mzML,P,116.1,662.87808,118240481.5,C,10D
C_3_10D.mzML,S,106.0532655,879.94938,351514843.3,C,10D
C_3_10D.mzML,T,120.1,761.82384,151685317.8,C,10D
C_3_10D.mzML,Y,182.1,700.58448,38149797.99,C,10D
C_3_10D.mzML,V,118.1,667.6917,1259758337,C,10D
C_3_20D.mzML,A,90.1,674.781,87296406.68,C,20D
C_3_20D.mzML,R,175.1,677.45508,118706436.4,C,20D
C_3_20D.mzML,D,134,955.185,40243558.51,C,20D
C_3_20D.mzML,Cystine,241,811.75314,22881.54741,C,20D
C_3_20D.mzML,E,148.1,825.9264,305409928.5,C,20D
C_3_20D.mzML,G,76,764.68704,46444559.81,C,20D
C_3_20D.mzML,H,156.1,726.6606,216705892.7,C,20D
C_3_20D.mzML,I/L,132.1,824.32188,48072793.16,C,20D
C_3_20D.mzML,K,147.1,825.12414,2973208793,C,20D
C_3_20D.mzML,M,150.1,822.71742,23597856.44,C,20D
C_3_20D.mzML,F,166.1,667.29318,31176222.48,C,20D
C_3_20D.mzML,P,116.1,670.23486,120907583.7,C,20D
C_3_20D.mzML,S,106.0529251,880.3071,165884915.1,C,20D
C_3_20D.mzML,T,120.1,768.1635,126152180.1,C,20D
C_3_20D.mzML,Y,182.1,704.46462,39477630.96,C,20D
C_3_20D.mzML,V,118.1,667.5606,1320585626,C,20D
C_4_10D.mzML,A,90.1,675.54132,90084245.94,C,10D
C_4_10D.mzML,R,175.1,678.21558,31604820.69,C,10D
C_4_10D.mzML,D,134,954.62334,73935746.81,C,10D
C_4_10D.mzML,Cystine,241,826.7217,26749.18369,C,10D
C_4_10D.mzML,E,148.1,848.72466,412255646.7,C,10D
C_4_10D.mzML,G,76,759.02928,46219463.46,C,10D
C_4_10D.mzML,H,156.1,728.75814,209410347.8,C,10D
C_4_10D.mzML,I/L,132.1,820.82016,46173958.69,C,10D
C_4_10D.mzML,K,147.1,822.69216,2511175017,C,10D
C_4_10D.mzML,M,150.1,847.65504,22956202.19,C,10D
C_4_10D.mzML,F,166.1,661.36806,30841049.36,C,10D
C_4_10D.mzML,P,116.1,664.5771,119297783.3,C,10D
C_4_10D.mzML,S,106.0531642,878.94318,244237062.7,C,10D
C_4_10D.mzML,T,120.1,763.84278,126089721.1,C,10D
C_4_10D.mzML,Y,182.1,701.7486,38966766.12,C,10D
C_4_10D.mzML,V,118.1,664.04232,1275212741,C,10D
C_4_20D.mzML,A,90.1,673.45224,110483563.6,C,20D
C_4_20D.mzML,R,175.1,674.52186,83434500.78,C,20D
C_4_20D.mzML,D,134,962.95362,29824373.5,C,20D
C_4_20D.mzML,Cystine,241,664.09248,14885.10433,C,20D
C_4_20D.mzML,E,148.1,824.29554,302931743.3,C,20D
C_4_20D.mzML,G,76,764.91012,49279031.3,C,20D
C_4_20D.mzML,H,156.1,724.797,202504117.5,C,20D
C_4_20D.mzML,I/L,132.1,825.36522,54311828.59,C,20D
C_4_20D.mzML,K,147.1,824.56296,2913935598,C,20D
C_4_20D.mzML,M,150.1,825.36522,20172380.32,C,20D
C_4_20D.mzML,F,166.1,661.41834,25994082.06,C,20D
C_4_20D.mzML,P,116.1,660.3486,121759486,C,20D
C_4_20D.mzML,S,106.051183,879.99186,156738081.8,C,20D
C_4_20D.mzML,T,120.1,769.1889,337472123.2,C,20D
C_4_20D.mzML,Y,182.1,705.00786,33623122.08,C,20D
C_4_20D.mzML,V,118.1,663.02286,3378553913,C,20D
S12_1_10D.mzML,A,90.1,675.22836,71434507.22,S5,10D
S12_1_10D.mzML,R,175.1,676.83288,35302588.97,S5,10D
S12_1_10D.mzML,D,134,950.27304,95392297.66,S5,10D
S12_1_10D.mzML,Cystine,241,660.52026,11527.40358,S5,10D
S12_1_10D.mzML,E,148.1,848.92062,464491402.7,S5,10D
S12_1_10D.mzML,G,76,759.2502,36421792.93,S5,10D
S12_1_10D.mzML,H,156.1,728.76414,204066920.5,S5,10D
S12_1_10D.mzML,I/L,132.1,821.57568,46900744.09,S5,10D
S12_1_10D.mzML,K,147.1,821.57568,2439068901,S5,10D
S12_1_10D.mzML,M,150.1,850.2576,21739978.84,S5,10D
S12_1_10D.mzML,F,166.1,665.8686,28323554.82,S5,10D
S12_1_10D.mzML,P,116.1,665.60124,117682011,S5,10D
S12_1_10D.mzML,S,106.0533527,878.60424,228563038.8,S5,10D
S12_1_10D.mzML,T,120.1,763.79628,127921261.6,S5,10D
